,Almeda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,
Almeda," 4,346,511 "," 325,668 "," 20,061 "," 3,334 "," 162,467 "," 106,955 "," 227,704 "," 19,746 "," 4,583 ",
Contra Costa," 323,966 "," 2,715,889 "," 22,946 "," 10,668 "," 59,824 "," 12,425 "," 19,138 "," 78,739 "," 4,204 ",
Marin," 20,285 "," 22,663 "," 611,203 "," 2,687 "," 56,342 "," 6,494 "," 1,068 "," 7,407 "," 31,071 ",
Napa," 3,361 "," 10,681 "," 2,694 "," 372,762 "," 1,029 ", 239 , 219 ," 54,795 "," 10,025 ",
San Francisco," 163,417 "," 59,108 "," 56,532 ", 967 ," 3,106,642 "," 291,610 "," 18,666 "," 7,455 "," 7,745 ",
San Mateo," 107,195 "," 12,258 "," 6,366 ", 241 ," 291,537 "," 1,743,438 "," 217,763 "," 1,392 "," 1,115 ",
Santa Clara," 227,883 "," 18,990 "," 1,068 ", 209 ," 18,898 "," 217,540 "," 5,998,953 "," 1,203 ", 222 ,
Solano," 19,742 "," 78,314 "," 7,510 "," 54,859 "," 7,604 "," 1,423 "," 1,230 "," 1,042,786 "," 5,382 ",
Sonoma," 4,669 "," 4,228 "," 30,840 "," 10,078 "," 7,799 "," 1,181 ", 225 ," 5,327 "," 1,502,699 ",
Total," 5,217,029 "," 3,247,799 "," 759,220 "," 455,805 "," 3,712,142 "," 2,381,305 "," 6,484,966 "," 1,218,850 "," 1,567,046 "," 25,044,162 "
Percentage of Total Trips,,,,,,,,,,
,Almeda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,
Almeda,17.4%,1.3%,0.1%,0.0%,0.6%,0.4%,0.9%,0.1%,0.0%,
Contra Costa,1.3%,10.8%,0.1%,0.0%,0.2%,0.0%,0.1%,0.3%,0.0%,
Marin,0.1%,0.1%,2.4%,0.0%,0.2%,0.0%,0.0%,0.0%,0.1%,
Napa,0.0%,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.2%,0.0%,
San Francisco,0.7%,0.2%,0.2%,0.0%,12.4%,1.2%,0.1%,0.0%,0.0%,
San Mateo,0.4%,0.0%,0.0%,0.0%,1.2%,7.0%,0.9%,0.0%,0.0%,
Santa Clara,0.9%,0.1%,0.0%,0.0%,0.1%,0.9%,24.0%,0.0%,0.0%,
Solano,0.1%,0.3%,0.0%,0.2%,0.0%,0.0%,0.0%,4.2%,0.0%,
Sonoma,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,6.0%,
