ID,Latitude,Longitude
400300,37.805659000000006,-122.30391399999999
400322,37.734299,-122.409462
401018,37.732647,-122.414119
400573,37.770861,-122.397356
401470,37.731978999999995,-122.427875
400432,37.864887,-122.30301999999999
400575,37.731873,-122.41775700000001
400552,37.731804,-122.421878
401503,37.825278000000004,-122.30641999999999
401277,37.74302,-122.406392
401820,37.769613,-122.416876
400676,37.731577,-122.43422
401454,37.717182,-122.39915400000001
400868,37.7536,-122.402898
401486,37.731414,-122.424609
400318,37.731198,-122.43625800000001
401285,37.744018,-122.40585300000001
401892,37.824658,-122.30790900000001
400255,37.727662,-122.402599
401539,37.826038,-122.30220200000001
401657,37.825581,-122.30279399999999
400231,37.762469,-122.392743
401516,37.760031,-122.40623300000001
400156,37.727078999999996,-122.44501899999999
400641,37.706492,-122.39473400000001
401409,37.756863,-122.403503
400397,37.726890999999995,-122.44551200000001
401795,37.717176,-122.39894699999999
401934,37.73437,-122.406177
401819,37.770070000000004,-122.419351
